"name","est","target"
"AC008496.1",0,NA
"AC008498.1",15,NA
"AC008507.1",31.1562,NA
"AC008514.2",1,NA
"AC008521.1",0,NA
"AC008521.2",0,NA
"AC008526.1",0,NA
"AC008537.1",0,NA
"AC008543.2",0,NA
"AC008549.3",1.00305,NA
"AC008550.1",0,NA
"AC008555.3",14,NA
"AC008555.6",0,NA
"AC008562.1",0,NA
"AC008565.1",12.5121,NA
"AC008567.1",18.2126,NA
"AC008571.1",0,NA
"AC008575.1",0,NA
"AC008581.2",34.3484,NA
"AC008592.3",23.4371,NA
"AC008608.1",4,NA
"AC008620.1",0,NA
"AC008620.2",10,NA
"AC008622.1",2,NA
"AC008622.3",0,NA
"AC008626.1",5.19696,NA
"AC008626.2",11.0137,NA
"AC008628.1",0,NA
"AC008628.2",0,NA
"AC008629.2",0,NA
"AC008629.3",0,NA
"AC008638.1",0,NA
"AC008638.2",0,NA
"AC008638.3",0,NA
"AC008676.2",0,NA
"AC008676.3",7.01899,NA
"AC008677.1",0,NA
"AC008677.2",2.0003,NA
"AC008677.3",0,NA
"AC008687.1",0,NA
"AC008687.4",3.000001,NA
"AC008687.5",0,NA
"AC008687.6",1,NA
"AC008687.7",3.63158,NA
"AC008687.8",1.60407,NA
"AC008694.1",0,NA
"AC008694.2",0,NA
"AC008695.1",0,NA
"AC008695.2",3.52077,NA
"AC008696.1",0,NA
"AC008716.1",1,NA
"AC008723.1",0,NA
"AC008725.1",0,NA
"AC008737.2",0,NA
"AC008739.2",1,NA
"AC008739.3",0,NA
"AC008740.1",0,NA
"AC008740.2",0,NA
"AC008745.1",0,NA
"AC008746.2",0,NA
"AC008746.5",0,NA
"AC008749.1",0,NA
"AC008750.6",0,NA
"AC008750.8",1.72986,NA
"AC008751.1",0,NA
"AC008751.2",0,NA
"AC008752.3",18.0316,NA
"AC008753.1",2.07609,NA
"AC008758.1",0,NA
"AC008758.3",41,NA
"AC008758.5",0,NA
"AC008758.6",11.7041,NA
"AC008759.1",1,NA
"AC008763.2",2.33122,NA
"AC008763.3",0,NA
"AC008764.1",0,NA
"AC008764.4",0,NA
"AC008770.1",0,NA
"AC008770.2",23.3267,NA
"AC008770.4",55.6495,NA
"AC008782.1",0,NA
"AC008798.1",0,NA
"AC008799.1",2.00022,NA
"AC008802.1",2.00203,NA
"AC008805.1",0,NA
"AC008813.1",0,NA
"AC008814.1",0,NA
"AC008817.1",0,NA
"AC008825.2",2,NA
"AC008833.1",0,NA
"AC008834.1",0,NA
"AC008837.1",0,NA
"AC008837.2",0,NA
"AC008850.1",0,NA
"AC008868.1",1.00008,NA
"AC008878.1",3.60273,NA
"AC008878.2",0,NA
"AC008878.3",0,NA
"AC008885.1",0,NA
"AC008897.1",0,NA
"AC008953.1",0,NA
"AC008958.1",0,NA
"AC008962.1",0,NA
"AC008967.1",0,NA
"AC008982.1",867.286,NA
"AC008982.3",867.286,NA
"AC008984.1",0,NA
"AC008984.3",0,NA
"AC008984.4",0,NA
"AC008984.5",0,NA
"AC009022.2",0,NA
"AC009027.1",0,NA
"AC009053.1",82.5053,NA
"AC009053.4",0,NA
"AC009060.2",0,NA
"AC009070.1",4.03287,NA
"AC009075.2",0,NA
"AC009078.1",0,NA
"AC009078.2",0,NA
"AC009086.1",0,NA
"AC009088.4",0,NA
"AC009091.1",0,NA
"AC009093.3",72.6125,NA
"AC009093.8",70.66883,NA
"AC009093.9",16.3998,NA
"AC009094.1",0,NA
"AC009101.1",0,NA
"AC009108.1",0,NA
"AC009117.1",0,NA
"AC009120.1",34,NA
"AC009127.2",0,NA
"AC009132.1",3.09736,NA
"AC009133.6",1695.34,NA
"AC009136.2",0,NA
"AC009153.1",0,NA
"AC009161.1",0,NA
"AC009163.3",19.4749,NA
"AC009163.5",2.43531,NA
"AC009169.1",0,NA
"AC009171.1",0,NA
"AC009220.1",3.00134,NA
"AC009220.2",14.4102,NA
"AC009220.3",1,NA
"AC009233.1",0,NA
"AC009237.1",0,NA
"AC009237.10",0,NA
