"Gene.name","SUM(est_counts)"
"AC010653.3",0
"AC010655.1",2
"AC010655.3",106.917
"AC010677.1",4.00966
"AC010678.1",0
"AC010683.1",1.00005
"AC010724.1",75.4548
"AC010724.2",0
"AC010731.1",0
"AC010733.1",21.1296
"AC010738.1",0
"AC010740.1",0
"AC010768.3",1
"AC010867.1",10.6526
"AC010878.1",0
"AC010881.1",0
"AC010886.1",9.49437
"AC010894.1",0
"AC010900.1",2
"AC010900.2",0
"AC010904.1",0
"AC010928.1",0
"AC010928.2",0
"AC010928.3",0
"AC010931.1",0
"AC010967.3",0
"AC010970.1",41206
"AC010975.2",0
"AC010975.3",0
"AC010997.1",0
"AC011005.1",0
"AC011005.2",0
"AC011005.3",0
"AC011037.1",0
"AC011043.1",854.751
"AC011043.2",7.03761
"AC011092.1",0
"AC011193.2",0
"AC011195.1",0
"AC011195.2",0
"AC011225.1",0
"AC011233.1",0
"AC011242.1",0
"AC011247.2",0
"AC011270.1",0
"AC011290.2",29
"AC011295.1",0
"AC011295.2",2.5
"AC011295.3",58.7044
"AC011298.2",0
"AC011298.3",0
"AC011330.1",5.02891
